,title,date,content
42,[리뷰 이벤트] AMD 라이젠™ 5000시리즈 사용자라면 주목! 후기를 부탁해 포토 후기 작성 이벤트!,6일 전,"kr/promotion/1819 > 이벤트 참여방법 라이젠 5000시리즈임을 알 수 있는 사진 포함하여 총 3장 & 100글자 이상 사용후기 리뷰를 최소 1곳에 남겨주세요 (네이버 카페, 커뮤니티, SNS 어느 곳이든 가능!) * 라이젠..."
43,"라이젠 메인보드 추천, 부담 없이 ASUS PRIME B550M-A 대원CTS 픽",2021.05.22.,이번에 새롭게 출시한 라이젠 메인보드 추천 아이템으로 ASUS PRIME B550M-A 대원CTS로 제 PC를... ^^ 대원 CTS에서 유통 중인 라이젠 메인보드 ASUS PRIME B550M-A 모델은 50만 원에서 60만 원대 예산에 맞추어 AMD...
44,인텔과 라이젠 프레임에 대한 글,2021.08.19.,평균프레임은 라이젠 5800X가 제일 높아요. 부하가 적은 상황에서는 압도적이죠. 다만 위 그림과 같이... 퀘이사존에서 라이젠4세대 출시 당시 유튜브에서 방송했던 10900k와의 비교테스트 영상에서도 나타났기에...
45,AMD 라이젠 아수스 비보북 15 침수된 노트북수리 전원 안켜짐 ASUS RYZEN VIVOBOOK R564D 메인보드...,2021.06.17.,"입고된 제품은 라이젠 아수스 노트북 입니다. 시피유와 메모리는 모두 정상적으로 인식 되구요. 무선 인터넷과 USB소켓,베터리 충전기능,외부 모니터 출력을 모두 체크해 드렸습니다. 수리가 되었다 하더라도 침수..."
46,라이젠 5600X 와우 클래식 컴퓨터 게이밍 PC,2021.04.26.,이제는 라이젠이라는 말이 나오고있습니다. 인텔이 부랴부랴 11세대를 출시했지만 역시나 라이젠의 성능을 누르지는 못했네요 ㅠ.ㅠ 참으로 안타까운 현실이긴하지만 우리같은 게이머 입장에서는 어느 제품이 이기고...
47,"컴퓨터 조립대행 해드렸습니다 !!!!!! 라이젠 5600X, GTX3060, MSI 550M!!!!!!",2021.08.23.,Previous image Next image 라이젠 5600X AMD코어 : 버미어(4세대) 코어종류 : 6코어소켓 : AMD-소켓AM4 제조공정... 7GHz소비전력(TDP) : 65W 개인적으로 제가 생각하기에 현존 가성비 최강 CPU라고 생각하는 라이젠 5600X를...
48,"벤큐 X AMD 기획전 특별 행사, 벤큐 조위 or 라이젠 구매하고 대박 경품 받기",2021.07.30.,"벤큐 조위의 성능을 극대화할 수 있는 AMD 라이젠과 벤큐가 만나 특별한 이벤트를 진행합니다. 총 두 가지 이벤트가 준비되어 있으니, 눈 크게 뜨고 확인해 주세요 :D 1) 벤큐 게이밍 모니터 x 라이젠 5000 구매 이벤트..."
49,AMD 라이젠 4세대 5900X 랙없는 게임 즐겨봅시다,2021.07.09.,"이번 블로그에서는 멀티미디어를 위한 최고의 선택이 될 수있는 ""AMD 라이젠 4세대 5900X 버미어"" CPU를 탑재한 최고급 조립 컴퓨터를 다뤄보도록 하겠습니다. [AMD 라이젠 4세대 5900X 버미어] 해당 CPU는..."
50,라이젠 5950X 사용기!,6일 전,"최강의 CPU 라이젠 5950X 사용후기입니다. 출시때부터 구매해서 지금까지 아주 잘 사용중인 라이젠 CPU! 게임을 하기전에, 제일 성능을 테스트 하기 쉬운 타임스파이, 파이어스트라이크 벤치마킹을 해보았습니다...."
51,"라이젠 4세대 끝판왕 CPU R9 5900HX와 RTX3070으로 극강의 성능을 맛보다, 한성컴퓨터 TFG5597XG...",2021.06.02.,"4세대 라이젠 프로세서 끝판왕, R9 5900HX CPU와 RTX3070의 만남 TFG5597XG TFG7597XG 강력한 게이밍노트북들, 예전에는 모두 인텔에 치중되었다 해도 과언이 아닌데요. 리사수 라는 엄청난 CEO를 만나 AMD 라이젠..."
52,"라이젠5800X/32G/RTX3080본체, 천안조립컴퓨터,천안조립pc, 천안컴퓨터수리",2021.08.21.,라이젠5800X/32G/ RTX3080 본체와 라이젠5600X/16G/RTX3060Ti본체 조립PC 판매 포스팅 입니다 작업 과정 사양 라이젠 5800X/32G/X570/RTX3080 10G/ SK하이닉스 NVME 1TB /850W/ 공랭쿨러 본체 입니다 배틀그라운드 유저분께서...
53,라이젠 5600X + B450 조립 후 화면 안나옴 증상 해결 방법,2021.08.23.,CPU: 라이젠 5600X 메인보드: GIGABYTE B450 AORUS ELITE V2 GPU: MSI 지포스 RTX 3060 게이밍 X D6 12GB 트윈프로져8... 집에 구형 라이젠 CPU는 없으니 판매처인 피씨 다이렉트 고객센터에 직접 와서 AS를 받았습니다. AS 맡길때는...
54,레노버 할인코드 IdeaPad Flex 5 5세대 투인원 2-in-1 아이디어패드 15.6형 amd 라이젠 7 특가,2021.08.20.,"레노버 할인코드 IdeaPad Flex 5 5세대 아이디어패드 15.6형 amd 라이젠 7 특가 레노버 노트북 아이디어패드 flex 5 5세대는 15.6형, amd 라이젠7 이 장착된 투인원 노트북 입니다. 얇은 베젤이 fhd..."
55,저도 드디어 라이젠 시스템으로! (Feat. 라이젠 5600X),6일 전,"군대에 있을 때부터 틈틈이 이곳저곳을 알아본 결과, 요새 대세는 라이젠이라는 것을 알게 되었고, 라이젠 시스템으로 구축하기로 결정하였습니다. 그리하여.... 짜잔! 이렇게 도착하였습니다! 이것은 기본..."
